iter	Passed	Remaining
0	5	529
1	10	491
2	14	471
3	18	445
4	23	441
5	29	460
6	34	453
7	39	451
8	44	446
9	49	441
10	53	433
11	58	432
12	63	428
13	68	418
14	72	412
15	76	403
16	81	399
17	86	394
18	91	389
19	96	384
20	101	380
21	105	374
22	110	368
23	114	362
24	119	357
25	124	352
26	128	348
27	133	342
28	137	336
29	141	331
30	146	325
31	150	320
32	155	315
33	160	310
34	165	306
35	169	301
36	173	296
37	178	290
38	182	285
39	187	280
40	191	275
41	193	267
42	197	262
43	202	257
44	206	252
45	211	248
46	216	243
47	220	239
48	225	234
49	230	230
50	234	225
51	238	220
52	243	216
53	247	211
54	250	205
55	255	200
56	259	196
57	264	191
58	269	187
59	273	182
60	278	177
61	282	173
62	287	168
63	291	164
64	296	159
65	301	155
66	306	150
67	310	146
68	313	141
69	316	135
70	319	130
71	321	125
72	323	119
73	325	114
74	327	109
75	329	103
76	330	98
77	332	93
78	334	88
79	336	84
80	337	79
81	339	74
82	340	69
83	342	65
84	344	60
85	345	56
86	347	51
87	348	47
88	350	43
89	352	39
90	353	34
91	355	30
92	356	26
93	358	22
94	360	18
95	361	15
96	363	11
97	364	7
98	366	3
99	367	0
